TIME(1.13)	累计确诊	累计死亡	累计出院	现有确诊
22	41	1	0	40
23	41	1	0	40
24	41	2	5	34
25	45	2	8	35
26	62	2	12	48
27	198	3	17	178
28	275	4	18	253
29	291	6	25	260
30	440	9	25	406
31	571	17	25	529
32	830	25	34	771
33	1287	41	38	1208
34	1975	56	49	1870
35	2744	80	51	2613
36	4515	106	60	4349
37	5974	132	103	5739
38	7711	170	124	7417
39	9692	213	171	9308
40	11791	259	243	11289
41	14380	304	328	13748
42	17236	361	475	16400
43	20471	425	632	19414
44	24363	491	892	22980
45	28060	564	1153	26343
46	31211	637	1542	29032
47	34598	723	2052	31823
48	37251	812	2651	33788
49	40235	909	3283	36043
50	42708	1017	3998	37693
51	44730	1114	4742	38874
52	59882	1368	5915	52599
53	63932	1381	6728	55823
54	66576	1524	8101	56951
55	68584	1666	9425	57493
56	70635	1772	10853	58010
57	72528	1870	12561	58097
58	74279	2006	14387	57886
59	75101	2121	16170	56810
60	75993	2239	18279	55475
61	76392	2348	20673	53371
62	77041	2445	22907	51689
63	77262	2595	24757	49910
64	77779	2666	27353	47760
65	78190	2718	29775	45697
66	78630	2747	32531	43352
67	78959	2791	36157	40011
68	79389	2838	39049	37502
69	79968	2873	41675	35420
70	80174	2915	44518	32741
71	80302	2946	47260	30096
72	80422	2984	49914	27524
73	80565	3015	52109	25441
74	80710	3045	53793	23872
75	80813	3073	55477	22263
76	80859	3100	57143	20616
77	80905	3123	58684	19098
78	80924	3140	59982	17802
79	80955	3162	61567	16226
80	80980	3173	62887	14920
81	81003	3180	64216	13607
82	81021	3194	65649	12178
83	81048	3204	67022	10822
84	81077	3218	67863	9996
85	81116	3231	68799	9086
86	81151	3242	69725	8184
87	81235	3250	70547	7438
88	81300	3253	71284	6763
89	81416	3261	71876	6279
90	81498	3267	72382	5849
91	81600	3276	72841	5483
92	81747	3283	73299	5165
93	81846	3287	73791	4768
94	81960	3293	74196	4471
95	83878	3298	74737	5843
96	82213	3301	75122	3790
97	82341	3306	75499	3536
98	82447	3311	75937	3199
99	82545	3314	76225	3006
100	82631	3321	76415	2895
101	82724	3327	76610	2787
102	82802	3331	76785	2686
103	82875	3335	76984	2556
104	82930	3338	77210	2382
105	83005	3340	77348	2317
106	83071	3340	77450	2281
107	83157	3342	77586	2229
108	83249	3344	77711	2194
109	83305	3345	77838	2122
110	83369	3349	77935	2085
111	83482	3349	78020	2113
112	83597	3351	78145	2101
113	83696	3351	78262	2083
114	83745	3352	78389	2004
115	83797	3352	78504	1941
116	83824	3352	78600	1872
117	84180	4642	77744	1794
118	84201	4642	77825	1734
119	84237	4642	77895	1700
120	84250	4642	77978	1630
121	84287	4642	78042	1603
122	84302	4642	78147	1513
123	84311	4642	78236	1433
124	84324	4642	78362	1320
125	84338	4642	78450	1246
126	84341	4643	78558	1140
127	84347	4643	78664	1040
128	84369	4643	78729	997
129	84373	4643	78785	945
130	84385	4643	78845	897
131	84388	4643	78905	840
132	84393	4643	78939	811
133	84400	4643	78996	761
134	84404	4643	79126	635
135	84406	4643	79204	559
136	84409	4643	79268	498
137	84415	4643	79314	458
138	84416	4643	79601	172
139	84430	4643	79488	299
140	84450	4643	79533	274
141	84451	4643	79566	242
142	84458	4644	79594	220
143	84464	4644	79621	199
144	84469	4644	79644	181
145	84478	4644	79668	166
146	84484	4645	79682	157
147	84494	4645	79701	148
148	84500	4645	79708	147
149	84505	4645	79715	145
150	84507	4645	79722	140
151	84520	4645	79736	139
152	84522	4645	79740	137
153	84525	4645	79746	134
154	84536	4645	79757	134
155	84543	4645	79767	131
156	84544	4645	79774	125
157	84547	4645	79786	116
158	84547	4645	79791	111
159	84565	4645	79802	118
160	84570	4645	79806	119
161	84588	4645	79812	131
162	84597	4645	79824	128
163	84597	4645	79824	128
164	84603	4645	79831	127
165	84614	4645	79842	127
166	84620	4645	79848	127
167	84629	4645	79854	130
168	84634	4645	79865	124
169	84638	4645	79875	118
170	84641	4645	79883	113
171	84652	4645	79888	119
